Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
     304 |                21639                21843                21802                21326                23133                21260
     305 |                21938                21762                21884                21456                23246                21442
     306 |                21848                21920                21914                21650                23232                21518
     307 |                22144                22092                22138                21840                23514                21748
     308 |                22379                22376                22218                21907                23683                21797
     309 |                22483                22483                22421                22131                23853                21959
     310 |                22441                22387                22624                22175                23920                22107
     311 |                22649                22761                22709                22263                24149                22243
     312 |                22793                22834                22899                22518                24294                22406
     313 |                23020                23028                23122                22590                24480                22566
     314 |                23121                23201                23134                22826                24593                22710
     315 |                23281                23351                23347                22899                24661                22841
     316 |                23419                23487                23443                23146                24956                23090
     317 |                23517                23603                23653                23229                25125                23107
     318 |                23767                23725                23822                23379                25276                23295
     319 |                23922                23912                23842                23726                25282                23420
     320 |                24075                24101                24055                23656                25550                23635
     321 |                24184                24198                24152                23846                25580                23774
     322 |                24414                24361                24448                24039                26024                24014
     323 |                24640                24504                24516                24236                25934                24062
     324 |                24778                24793                24725                24394                26199                24281
     325 |                24831                24751                24905                24591                26453                24343
     326 |                24935                24996                24980                24527                26584                24611
     327 |                25134                25130                25128                24770                26662                24674
     328 |                25314                25133                25179                25006                26704                24842
     329 |                25630                25328                25424                25166                27034                24996
     330 |                25676                25657                25729                25236                27239                25167
     331 |                25744                25808                25864                25454                27272                25228
     332 |                25902                26027                25874                25523                27519                25448
     333 |                26049                26129                26081                25823                27731                25539
     334 |                26257                26129                26122                25885                27829                25734
     335 |                26484                26320                26476                26058                27968                25958
     336 |                26479                26548                26543                26134                28146                26050
     337 |                26693                26699                26767                26389                28375                26259
     338 |                27016                27010                26951                26429                28475                26416
     339 |                27204                27108                27072                26742                28688                26550
     340 |                27226                27320                27192                26900                28841                26731
     341 |                27402                27330                27350                27046                29116                26904
     342 |                27592                27573                27588                27190                29263                26985
     343 |                27668                27760                27762                27340                29436                27258
     344 |                27870                27919                27963                27508                29417                27418
     345 |                28111                27963                28055                27643                29687                27539
     346 |                28251                28210                28231                27793                29853                27648
     347 |                28438                28368                28410                27916                30002                27874
     348 |                28528                28535                28579                28170                30219                28031
     349 |                28696                28626                28722                28340                30390                28218
     350 |                28970                28898                28942                28397                30533                28263
     351 |                29033                28977                29027                28693                30767                28485
     352 |                29228                29218                29274                28827                31010                28628
     353 |                29430                29276                29336                29030                31136                28832
     354 |                29588                29533                29518                29115                31265                29029
     355 |                29678                29740                29718                29300                31292                29242
     356 |                29967                29907                29836                29596                31590                29366
     357 |                30024                30054                30130                29700                32052                29522
     358 |                30209                30278                30310                29869                32158                29595
     359 |                30319                30431                30485                30009                32001                29739
     360 |                30705                30653                30553                30000                32461                29986
     361 |                30862                30802                30596                30288                32726                30236
     362 |                30877                30788                30920                30545                32678                30382
     363 |                31076                31066                31046                30812                33076                30546
     364 |                31299                31321                31274                30764                33234                30775
     365 |                31507                31503                31459                31039                33343                30965
     366 |                31718                31632                31719                31140                33476                31141
     367 |                31884                31808                31876                31420                33676                31208
     368 |                31992                31992                31967                31470                33985                31355
     369 |                32164                32190                32324                31672                34016                31714
     370 |                32437                32376                32332                31763                34371                31811
